result,stdev,iterations,regulation,learnrate
1.25845,1,260,0.400000,0
1.25307,1,260,0.600000,0
1.25239,1,260,0.800000,0
1.25514,1,260,1.000000,0
1.26658,0,280,0.000000,0
1.26656,0,280,0.200000,0
1.26654,0,280,0.400000,0
1.26653,0,280,0.600000,0
1.26653,0,280,0.800000,0
1.26652,0,280,1.000000,0
1.31607,0.2,280,0.000000,0
1.29752,0.2,280,0.200000,0
1.2817,0.2,280,0.400000,0
1.2714,0.2,280,0.600000,0
1.27331,0.2,280,0.800000,0
1.26013,0.2,280,1.000000,0
1.3248,0.4,280,0.000000,0
1.29032,0.4,280,0.200000,0
1.28031,0.4,280,0.400000,0
1.27984,0.4,280,0.600000,0
1.26663,0.4,280,0.800000,0
1.26582,0.4,280,1.000000,0
1.30171,0.6,280,0.000000,0
1.28602,0.6,280,0.200000,0
1.2855,0.6,280,0.400000,0
1.27936,0.6,280,0.600000,0
1.26313,0.6,280,0.800000,0
1.26258,0.6,280,1.000000,0
1.29415,0.8,280,0.000000,0
1.28287,0.8,280,0.200000,0
1.27394,0.8,280,0.400000,0
1.26715,0.8,280,0.600000,0
1.2678,0.8,280,0.800000,0
1.2662,0.8,280,1.000000,0
1.28558,1,280,0.000000,0
1.2678,1,280,0.200000,0
1.26378,1,280,0.400000,0
1.25907,1,280,0.600000,0
1.25241,1,280,0.800000,0
1.25376,1,280,1.000000,0
1.26658,0,300,0.000000,0
1.26656,0,300,0.200000,0
1.26654,0,300,0.400000,0
1.26653,0,300,0.600000,0
1.26653,0,300,0.800000,0
1.26652,0,300,1.000000,0
1.32199,0.2,300,0.000000,0
1.29353,0.2,300,0.200000,0
1.28704,0.2,300,0.400000,0
1.27175,0.2,300,0.600000,0
1.27216,0.2,300,0.800000,0
1.26705,0.2,300,1.000000,0
1.32083,0.4,300,0.000000,0
1.30076,0.4,300,0.200000,0
1.28081,0.4,300,0.400000,0
1.27642,0.4,300,0.600000,0
1.2696,0.4,300,0.800000,0
1.25951,0.4,300,1.000000,0
1.30406,0.6,300,0.000000,0
1.29571,0.6,300,0.200000,0
1.2822,0.6,300,0.400000,0
1.27156,0.6,300,0.600000,0
1.27245,0.6,300,0.800000,0
1.26345,0.6,300,1.000000,0
1.30531,0.8,300,0.000000,0
1.28176,0.8,300,0.200000,0
1.27731,0.8,300,0.400000,0
1.26781,0.8,300,0.600000,0
1.26416,0.8,300,0.800000,0
1.26853,0.8,300,1.000000,0
1.29217,1,300,0.000000,0
1.27426,1,300,0.200000,0
1.25959,1,300,0.400000,0
1.26832,1,300,0.600000,0
1.26602,1,300,0.800000,0
1.25083,1,300,1.000000,0
1.26658,0,320,0.000000,0
1.26656,0,320,0.200000,0
1.26654,0,320,0.400000,0
1.26653,0,320,0.600000,0
1.26653,0,320,0.800000,0
1.26652,0,320,1.000000,0
1.32413,0.2,320,0.000000,0
1.28894,0.2,320,0.200000,0
1.28407,0.2,320,0.400000,0
1.28005,0.2,320,0.600000,0
1.27216,0.2,320,0.800000,0
1.26132,0.2,320,1.000000,0
1.32033,0.4,320,0.000000,0
1.29699,0.4,320,0.200000,0
1.28023,0.4,320,0.400000,0
1.27707,0.4,320,0.600000,0
1.27306,0.4,320,0.800000,0
1.26161,0.4,320,1.000000,0
1.31003,0.6,320,0.000000,0
1.2859,0.6,320,0.200000,0
1.28563,0.6,320,0.400000,0
1.27818,0.6,320,0.600000,0
1.26892,0.6,320,0.800000,0
1.25518,0.6,320,1.000000,0
1.29576,0.8,320,0.000000,0
1.28002,0.8,320,0.200000,0
1.28069,0.8,320,0.400000,0
1.2708,0.8,320,0.600000,0
1.26116,0.8,320,0.800000,0
1.25561,0.8,320,1.000000,0
1.28132,1,320,0.000000,0
1.27198,1,320,0.200000,0
1.25096,1,320,0.400000,0
1.25971,1,320,0.600000,0
1.25594,1,320,0.800000,0
1.24939,1,320,1.000000,0
1.26658,0,340,0.000000,0
1.26656,0,340,0.200000,0
1.26654,0,340,0.400000,0
1.26653,0,340,0.600000,0
1.26653,0,340,0.800000,0
1.26652,0,340,1.000000,0
1.31934,0.2,340,0.000000,0
1.29692,0.2,340,0.200000,0
1.27943,0.2,340,0.400000,0
1.28434,0.2,340,0.600000,0
1.2729,0.2,340,0.800000,0
1.26213,0.2,340,1.000000,0
1.31301,0.4,340,0.000000,0
1.29945,0.4,340,0.200000,0
1.2897,0.4,340,0.400000,0
1.27299,0.4,340,0.600000,0
1.27487,0.4,340,0.800000,0
1.26348,0.4,340,1.000000,0
1.31161,0.6,340,0.000000,0
1.29509,0.6,340,0.200000,0
1.27503,0.6,340,0.400000,0
