result|stdev|iterations|regulation|learnrate
1.32922|0.4|20|0.400000|0.0046
1.33487|0.4|20|0.400000|0.0051
1.49585|0|280|0.400000|0.0021
1.33813|0.4|20|0.400000|0.0056
1.61553|0|200|0.600000|0.0001
1.34349|0.4|20|0.400000|0.0061
1.34717|0.4|20|0.400000|0.0066
1.37369|0|340|0.200000|0.0086
1.35326|0.4|20|0.400000|0.0071
1.35964|0.4|20|0.400000|0.0076
1.36492|0.4|20|0.400000|0.0081
1.63319|0|200|0.600000|0.0006
1.36687|0.4|20|0.400000|0.0086
1.499|0|280|0.400000|0.0026
1.37232|0.4|20|0.400000|0.0091
1.3765|0.4|20|0.400000|0.0096
1.37396|0|340|0.200000|0.0091
1.83547|0.4|20|0.600000|0.0001
1.63856|0|200|0.600000|0.0011
1.32821|0.4|20|0.600000|0.0006
1.32403|0.4|20|0.600000|0.0011
1.50163|0|280|0.400000|0.0031
1.33092|0.4|20|0.600000|0.0016
1.34051|0.4|20|0.600000|0.0021
1.34822|0.4|20|0.600000|0.0026
1.64374|0|200|0.600000|0.0016
1.35774|0.4|20|0.600000|0.0031
1.36467|0.4|20|0.600000|0.0036
1.37417|0|340|0.200000|0.0096
1.50356|0|280|0.400000|0.0036
1.36968|0.4|20|0.600000|0.0041
1.37736|0.4|20|0.600000|0.0046
1.64847|0|200|0.600000|0.0021
1.3824|0.4|20|0.600000|0.0051
1.38844|0.4|20|0.600000|0.0056
1.39221|0.4|20|0.600000|0.0061
1.39736|0.4|20|0.600000|0.0066
1.65175|0|200|0.600000|0.0026
1.40216|0.4|20|0.600000|0.0071
1.50479|0|280|0.400000|0.0041
1.4064|0.4|20|0.600000|0.0076
1.41087|0.4|20|0.600000|0.0081
1.41431|0.4|20|0.600000|0.0086
1.41888|0.4|20|0.600000|0.0091
1.65347|0|200|0.600000|0.0031
1.42235|0.4|20|0.600000|0.0096
1.50541|0|280|0.400000|0.0046
1.9366|0.4|20|0.800000|0.0001
1.36184|0.4|20|0.800000|0.0006
1.36339|0.4|20|0.800000|0.0011
1.65389|0|200|0.600000|0.0036
1.36998|0.4|20|0.800000|0.0016
1.45746|0|340|0.400000|0.0001
1.3804|0.4|20|0.800000|0.0021
1.38936|0.4|20|0.800000|0.0026
1.50553|0|280|0.400000|0.0051
1.39696|0.4|20|0.800000|0.0031
1.40336|0.4|20|0.800000|0.0036
1.65338|0|200|0.600000|0.0041
1.40934|0.4|20|0.800000|0.0041
1.41448|0.4|20|0.800000|0.0046
1.41963|0.4|20|0.800000|0.0051
1.42469|0.4|20|0.800000|0.0056
1.50527|0|280|0.400000|0.0056
1.48352|0|340|0.400000|0.0006
1.65225|0|200|0.600000|0.0046
1.42901|0.4|20|0.800000|0.0061
1.43337|0.4|20|0.800000|0.0066
1.43731|0.4|20|0.800000|0.0071
1.4412|0.4|20|0.800000|0.0076
1.44485|0.4|20|0.800000|0.0081
1.65074|0|200|0.600000|0.0051
1.44843|0.4|20|0.800000|0.0086
1.50474|0|280|0.400000|0.0061
1.45186|0.4|20|0.800000|0.0091
1.45516|0.4|20|0.800000|0.0096
1.48987|0|340|0.400000|0.0011
2.02267|0.4|20|1.000000|0.0001
1.64902|0|200|0.600000|0.0056
1.40537|0.4|20|1.000000|0.0006
1.4034|0.4|20|1.000000|0.0011
1.50401|0|280|0.400000|0.0066
1.41346|0.4|20|1.000000|0.0016
1.42273|0.4|20|1.000000|0.0021
1.64722|0|200|0.600000|0.0061
1.43075|0.4|20|1.000000|0.0026
1.49268|0|340|0.400000|0.0016
1.43787|0.4|20|1.000000|0.0031
1.44389|0.4|20|1.000000|0.0036
1.4495|0.4|20|1.000000|0.0041
1.4545|0.4|20|1.000000|0.0046
1.64543|0|200|0.600000|0.0066
1.50318|0|280|0.400000|0.0071
1.45902|0.4|20|1.000000|0.0051
1.4632|0.4|20|1.000000|0.0056
1.46721|0.4|20|1.000000|0.0061
1.49585|0|340|0.400000|0.0021
1.47104|0.4|20|1.000000|0.0066
1.64368|0|200|0.600000|0.0071
1.47463|0.4|20|1.000000|0.0071
1.4781|0.4|20|1.000000|0.0076
1.50228|0|280|0.400000|0.0076
1.48147|0.4|20|1.000000|0.0081
1.48475|0.4|20|1.000000|0.0086
1.64202|0|200|0.600000|0.0076
1.48793|0.4|20|1.000000|0.0091
1.49105|0.4|20|1.000000|0.0096
1.499|0|340|0.400000|0.0026
1.50137|0|280|0.400000|0.0081
1.48748|0.6|20|0.000000|0.0001
1.64046|0|200|0.600000|0.0081
1.3187|0.6|20|0.000000|0.0006
1.29097|0.6|20|0.000000|0.0011
1.27483|0.6|20|0.000000|0.0016
1.26618|0.6|20|0.000000|0.0021
1.63904|0|200|0.600000|0.0086
1.26182|0.6|20|0.000000|0.0026
1.50045|0|280|0.400000|0.0086
1.50163|0|340|0.400000|0.0031
1.26895|0.6|20|0.000000|0.0031
1.27516|0.6|20|0.000000|0.0036
1.25485|0.6|20|0.000000|0.0041
1.26908|0.6|20|0.000000|0.0046
1.63775|0|200|0.600000|0.0091
1.26408|0.6|20|0.000000|0.0051
1.28491|0.6|20|0.000000|0.0056
1.49957|0|280|0.400000|0.0091
1.28523|0.6|20|0.000000|0.0061
1.50356|0|340|0.400000|0.0036
1.2812|0.6|20|0.000000|0.0066
1.63658|0|200|0.600000|0.0096
1.30078|0.6|20|0.000000|0.0071
1.29604|0.6|20|0.000000|0.0076
1.30373|0.6|20|0.000000|0.0081
1.30999|0.6|20|0.000000|0.0086
1.49871|0|280|0.400000|0.0096
1.30663|0.6|20|0.000000|0.0091
1.29883|0.6|20|0.000000|0.0096
1.50479|0|340|0.400000|0.0041
1.59953|0.6|20|0.200000|0.0001
1.32522|0.6|20|0.200000|0.0006
1.26961|0.6|20|0.200000|0.0011
1.24995|0.6|20|0.200000|0.0016
1.76535|0|200|0.800000|0.0001
1.25332|0.6|20|0.200000|0.0021
1.26006|0.6|20|0.200000|0.0026
1.50541|0|340|0.400000|0.0046
1.25693|0.6|20|0.200000|0.0031
1.27066|0.6|20|0.200000|0.0036
1.26134|0.6|20|0.200000|0.0041
1.78586|0|200|0.800000|0.0006
1.27106|0.6|20|0.200000|0.0046
1.27504|0.6|20|0.200000|0.0051
1.27955|0.6|20|0.200000|0.0056
1.60466|0|280|0.600000|0.0001
1.28653|0.6|20|0.200000|0.0061
1.50553|0|340|0.400000|0.0051
1.79239|0|200|0.800000|0.0011
1.29612|0.6|20|0.200000|0.0066
1.29059|0.6|20|0.200000|0.0071
